"Label Key";"Default Language";"_4";"_32";"_567";"_587"
inactive;Sorry! This survey/quiz is inactive.;Pardon! Ce sondage/quiz est inactif.;¡Lo siento! Esta encuesta / cuestionario está inactiva.;Inasubiri jibu kutoka kwa seva.;Ihangane! Ubu bushakashatsi / ikibazo ntigikora.
passcode_placeholder;Please enter your activation code;Veuillez saisir votre code d'activation;"Por favor; ingrese su Código de Activación";Tafadhali ingiza msimbo wako wa uanzishaji;Nyamuneka andika kode yawe
passcode_start;Start;Démarrer;Comienzo;Anza;Tangira
topscore_noresponses;Be the first to complete this survey;Soyez le premier à répondre à ce sondage;Sea el primero en completar esta encuesta;Kuwa wa kwanza kumaliza utafiti huu;Ba abambere kurangiza ubu bushakashatsi
downloadbutton;Download;Télécharger;Descargar;Pakua;Kuramo
slotmachine_play;Play;Jouer;Tocar;Cheza;Kina
slotmachine_won;"Congratulations, you've won!";"Félicitations, vous avez gagné !";"¡Felicitaciones, has ganado!";"Hongera, umeshinda!";"Turishimye, watsinze!"
slotmachine_lost;"Oops, better luck next time!";"Oups, meilleure chance la prochaine fois !";"¡Vaya, mejor suerte la próxima!";"Lo, bahati nzuri wakati mwingine!";"Oops, amahirwe masa ubutaha!"
mandatory_indicator;;;;;
share;Share results;Partager les résultats;Compartir resultados;Shiriki matokeo;Sangira ibisubizo
passcode_incorrect;Incorrect activation code!;Code d'activation incorrect !;¡Código de activación incorrecto!;Nambari sahihi ya uanzishaji!;Kode yo gukora nabi!
total;Total:;Le total:;Total:;Jumla:;Igiteranyo:
accesscode_placeholder;Please enter your personal access code;Veuillez saisir votre code d'accès personnel;Ingrese su código de acceso personal;Tafadhali ingiza nambari yako ya ufikiaji ya kibinafsi;Nyamuneka andika kode yawe bwite
accesscode_start;Start;Démarrer;Comienzo;Anza;Tangira
accesscode_incorrect;Incorrect personal access code!;Code d'accès personnel incorrect !;¡Código de acceso personal incorrecto!;Incorrect personal access code!;Kode yo kwinjira wenyine!
viewcorrectanswers_back;;;;;
save_and_exit;Save & Exit;Enregistrer et quitter;Guardar la salida;Hifadhi & Toka;Kubika & Gusohoka
not_applicable;I'm not sure/ I prefer not to answer.;Je ne suis pas sûr/Je préfère ne pas répondre.;No estoy seguro / prefiero no contestar.;Sina hakika / napendelea kutokujibu.;Ntabwo nzi neza / Nahisemo kudasubiza.
login_oauth_message;Enter your credentials to access the survey;Entrez vos identifiants pour accéder au sondage;Ingrese sus credenciales para acceder a la encuesta;Ingiza vitambulisho vyako ili ufikie utafiti;Injira ibyangombwa byawe kugirango ubone 
login_oauth_form_username;Username;Nom d'utilisateur;Nombre de usuario;Jina la mtumiaji;Izina ryukoresha
login_oauth_form_password;Password;Mot de passe;Contraseña;Nenosiri;Ijambobanga
login_oauth_button;Login;Connexion;Acceso;Ingia;Injira
login_oauth_fail;"Your credentials are not correct, please try again";"Vos identifiants ne sont pas corrects, veuillez réessayer";"Tus credenciales no son correctas, inténtalo de nuevo.";"Hati zako si sahihi, tafadhali jaribu tena";"Ibyangombwa byawe ntabwo aribyo, nyamuneka gerageza"
status_info;;;;;
viewresults_question;These are the results to the question:;Voici les résultats à la question :;Estos son los resultados de la pregunta:;Haya ndio matokeo ya swali:;Ibi ni ibisubizo kubibazo:
viewresults_loading;Retrieving question results...;Récupération des résultats de la question...;Recuperando resultados de preguntas ...;Inaleta matokeo ya maswali ...;Kubona ibisubizo by'ibibazo ...
viewresults_failed;Failed to retrieve question results.;Échec de la récupération des résultats de la question.;No se pudieron recuperar los resultados de la pregunta.;Imeshindwa kupata matokeo ya maswali.;Kunanirwa kubona ibisubizo byibibazo.
viewresults_button;View results;;Ver resultados;Angalia matokeo;Reba ibisubizo
save_session_fail;Warning! Your response was not saved. This is probably due to a bad internet connection. Ensure that your device is properly connected with the internet and try again.;Avertissement! Votre réponse n'a pas été enregistrée. Cela est probablement dû à une mauvaise connexion Internet. Assurez-vous que votre appareil est correctement connecté à Internet et réessayez.;¡Advertencia! Su respuesta no se guardó. Probablemente se deba a una mala conexión a Internet. Asegúrese de que su dispositivo esté correctamente conectado a Internet y vuelva a intentarlo.;Onyo! Jibu lako halijahifadhiwa. Labda hii ni kwa sababu ya muunganisho mbaya wa mtandao. Hakikisha kuwa kifaa chako kimeunganishwa vizuri na mtandao na ujaribu tena.;Iburira! Igisubizo cyawe nticyakijijwe. Ibi birashoboka ko biterwa na enterineti mbi. Menya neza ko igikoresho cyawe gihujwe neza na interineti hanyuma ugerageze.
file_upload_button;Upload;Télécharger;Subir;Pakia;Kuramo
clear_button;Clear;Dégager;Borrar;Wazi;Biragaragara
signature_upload_button;Confirm;Confirmer;Confirmar;Thibitisha;Emeza
response_limit_onload;The questionnaire is not accessible because the response limit has been exceeded;Le questionnaire n'est pas accessible car la limite de réponse a été dépassée;No se puede acceder al cuestionario porque se superó el límite de respuesta;Hojaji haipatikani kwa sababu kikomo cha majibu kimepitishwa;Ikibazo nticyagerwaho kuko igisubizo ntarengwa cyarenze
response_limit_onsubmit;Your response cannot be saved because the response limit on the questionnaire has been exceeded;Votre réponse ne peut pas être enregistrée car la limite de réponse au questionnaire a été dépassée;Su respuesta no se puede guardar porque se superó el límite de respuestas del cuestionario;Jibu lako haliwezi kuhifadhiwa kwa sababu kikomo cha majibu kwenye dodoso kimepitishwa;Igisubizo cyawe ntigishobora gukizwa kuko igipimo cyibisubizo kubibazo cyarenze
payment_success;The payment was successful;Le paiement a réussi;El pago fue exitoso;Malipo yalifanikiwa;Kwishura byagenze neza
payment_fail;Something went wrong with the payment:;Une erreur s'est produite lors du paiement :;Algo salió mal con el pago:;Hitilafu imetokea wakati wa malipo:;Ikintu kitagenze neza mu kwishyura:
signature_upload_empty;No signature placed;Aucune signature apposée;Sin firma colocada;Hakuna sahihi iliyowekwa;Nta mukono washyizwe
signature_upload_small;Signature is too small;La signature est trop petite;La firma es demasiado pequeña;Saini ni ndogo sana;Umukono ni muto cyane
ranking_col1_header;Drag from here;Faites glisser d'ici;Arrastra desde aquí;Buruta kutoka hapa;Kurura hano
ranking_col2_header;Drop & sort your answers here;Déposez et triez vos réponses ici;Suelta y ordena tus respuestas aquí;Tonea na upange majibu yako hapa;Kureka & gutondekanya 
auto_complete_button;Finish for me;Terminer pour moi;Termina por mi;Nimalizie;Kurangiza
preview_widget;"A widget is presenting data that may be incomplete, because the dataset is using one or more piping variables";"Un widget présente des données qui peuvent être incomplètes, car l'ensemble de données utilise une ou plusieurs variables de tuyauterie";"A widget is presenting data that may be incomplete, because the dataset is using one or more piping variables";"A widget is presenting data that may be incomplete, because the dataset is using one or more piping variables";"A widget is presenting data that may be incomplete, because the dataset is using one or more piping variables"
survey_title;Organizational Culture Map (Goodwill);Carte de la culture organisationnelle (Goodwill);Mapa de Cultura Organizacional (Goodwill);Ramani ya Utamaduni wa Shirika (Goodwill);Ikarita yumuco wubuyobozi (Goodwill)
survey_intro;"Welcome! Let's Get StartedThank you for taking time to fill out this assessment.This tool has been developed to help Goodwill NNEunderstand what their company culture is really like.To do that, we need the perspectives from everyone to help your organization improve and create a more inclusive and equitable work environment. This should take about 20 minutes to complete. For each question, select the response that best reflects how you personally feel about your every day work environment. Responses are 100% confidential, so please answer as honestly as possible. You can select \""prefer not to answer\"" or add specific comments to each question.Final results will be shared with the organizationafter they are aggregated andanalyzed.";"Bienvenue ! Commençons Merci d'avoir pris le temps de remplir cette évaluation. Cet outil a été développé pour aider Goodwill NNE à comprendre à quoi ressemble vraiment sa culture d'entreprise. Pour ce faire, nous avons besoin des points de vue de chacun pour aider votre organisation à s'améliorer et à créer un environnement de travail plus inclusif et équitable. Cela devrait prendre environ 20 minutes. Pour chaque question, sélectionnez la réponse qui reflète le mieux ce que vous pensez personnellement de votre environnement de travail quotidien. Les réponses sont 100% confidentielles, veuillez donc répondre le plus honnêtement possible. Vous pouvez sélectionner \""""préférer ne pas répondre\"""" ou ajouter des commentaires spécifiques à chaque question. Les résultats finaux seront partagés avec l'organisation après avoir été agrégés et analysés.";"¡Bienvenidos! EmpecemosGracias por tomarse el tiempo para completar esta evaluación. Esta herramienta ha sido desarrollada para ayudar a Goodwill NNE a entender cómo es realmente la cultura de su empresa. Para hacer eso, necesitamos las perspectivas de todos para ayudar a su organización a mejorar y crear un entorno de trabajo más inclusivo y equitativo. Esto debería tardar unos 20 minutos en completarse. Para cada pregunta, seleccione la respuesta que mejor refleje cómo se siente personalmente acerca de su entorno de trabajo diario. Las respuestas son 100% confidenciales, así que responda de la manera más honesta posible. Puede seleccionar \ """" prefiere no responder \ """" o agregar comentarios específicos a cada pregunta. Los resultados finales se compartirán con la organización después de que se agreguen y analicen. ";"Karibu! Wacha tuanze Kuwashukuru kwa kuchukua muda wako kujaza tathmini hii. Zana hii imetengenezwa kusaidia Nia njema NN Kuelewa ni nini utamaduni wa kampuni yao ni kweli. Ili kufanya hivyo, tunahitaji mitazamo kutoka kwa kila mtu kusaidia shirika lako kuboresha na kuunda umoja zaidi na mazingira sawa ya kazi. Hii inapaswa kuchukua kama dakika 20 kukamilisha. Kwa kila swali, chagua majibu ambayo yanaonyesha vizuri jinsi wewe binafsi unavyohisi juu ya mazingira yako ya kila siku ya kazi. Majibu ni 100% ya siri, kwa hivyo tafadhali jibu kwa uaminifu iwezekanavyo. Unaweza kuchagua """" usipende kujibu \ """" au uongeze maoni maalum kwa kila swali. Matokeo ya mwisho yatashirikiwa na shirika baada ya kujumlishwa na kuchambuliwa.";"Murakaza neza! Reka dutangire Urakoze gufata umwanya wo kuzuza iri suzuma. Iki gikoresho cyakozwe mu rwego rwo gufasha Goodwill NNGutahura uko umuco wabo w'ikigo umeze. Kugira ngo dukore ibyo, dukeneye ibitekerezo bya buri wese kugirango dufashe umuryango wawe gutera imbere no guhanga ibikorwa byinshi kandi byuzuye. Ibi bigomba gufata iminota 20 kugirango birangire. Kuri buri kibazo, hitamo igisubizo kigaragaza neza uko wowe ubwawe wiyumvamo akazi kawe ka buri munsi. Ibisubizo ni ibanga 100%, nyamuneka usubize ubunyangamugayo bushoboka. Urashobora guhitamo \ """" hitamo kudasubiza \ """" cyangwa ukongeramo ibitekerezo byihariye kuri buri kibazo. Ibisubizo byanyuma bizasangirwa nishirahamwe nyuma yo guteranyirizwa hamwe no gusesengura."
survey_outro;"Thank You Thanks for taking our assessment. The Culture Map is the first step to transforming your organization and your participation is greatly appreciated!";"Je Vous Remercie Merci d'avoir pris part à  notre évaluation. La carte de la culture est la première étape de la transformation de votre organisation et votre participation est appréciée!";"Gracias Gracias por realizar nuestra evaluación. El Mapa Cultural es el primer paso para transformar su organización y se agradece su participación.";"Asante Asante kwa kuchukua tathmini yetu. Ramani ya Utamaduni ni hatua ya kwanza ya kubadilisha shirika lako na ushirika wako unathaminiwa!";"Murakoze Urakoze gufata isuzuma ryacu. Ikarita yumuco nintambwe yambere yo guhindura umuryango wawe kandi uruhare rwawe rurashimirwa!"
additional_outro;;;;;
mandatory_field_msg;The following fields are mandatory:;Les champs suivants sont obligatoires :;Los siguientes campos son obligatorios:;Sehemu zifuatazo ni lazima:;Imirima ikurikira ni itegeko:
mandatory_question_msg;Please answer the question to move on.;Veuillez répondre à la question pour continuer.;Por favor responda la pregunta para continuar.;Tafadhali jibu swali ili kuendelea.;Nyamuneka subiza ikibazo kugirango ukomeze.
QB1_title;Workplace Atmosphere;Ambiance de travail;Lugar de trabajo y ambiente;Mahali pa kazi na anga;Ahantu ho gukorera & Ikirere
QB2_title;Inclusion & Connection;Inclusion et connexion;Inclusión y conexión;Kujumuishwa & Uunganisho;Kwinjiza & Kwihuza
QB3_title;Direction & Purpose;Direction et objectif;Dirección y propósito;Mwelekeo na Kusudi;Icyerekezo & Intego
QB4_title;Growth & Change;Croissance et changement;Crecimiento y cambio;Ukuaji na Mabadiliko;Gukura & Guhinduka
QB5_title;Autonomy & Agency;Autonomie & Agence;Autonomía y Agencia;Uhuru na Wakala;Kwigenga & Ikigo
QB6_title;Order & Process;Commande et processus;Orden y proceso;Agizo na Mchakato;Tegeka & Gutunganya
QB7_title;Wrap Up;Emballer;terminar;Maliza;Wuzuze
Q1_text;"For the next questions, think about your workplace atmosphere.What is it like on a daily basis in your personal experience?(Scroll to complete all 10 factors):";"Pour les prochaines questions, pensez à l'ambiance de votre lieu de travail.  En quoi ressemble le   quotidien dans votre expérience personnelle? (Faites défiler pour compléter les 10 facteurs):";"Para las siguientes preguntas, piense en la atmósfera de su lugar de trabajo. ¿Cómo es el día a día en tu experiencia personal? (Desplace la pantalla para completar los 10 factores):";"Kwa maswali yanayofuata, fikiria juu ya mazingira ya mahali pa kazi mwako. Je! Ikoje kila siku katika uzoefu wako wa kibinafsi? (Tembeza kukamilisha mambo yote 10):";"Kubibazo bikurikira, tekereza ku kazi kawe. Bimeze bite burimunsi muburambe bwawe bwite? (subiza ibibazo 10 bikurikira)"
Q2_text;Wellbeing;Bien-être ;Bienestar;Ustawi;Imibereho myiza 
Q2_low_end_label;very stressful;Très stressant;Muy estresante;Inasumbua sana;Birahangayikishije cyane
Q2_high_end_label;not at all stressful;Pas du tout stressant;Nada estresante;Sio shida kabisa;Ntabwo ari impungenge rwose
Q3_text;Community;Communauté ;Comunidad;Jumuiya;Umuganda
Q3_low_end_label;It's hard to connect;Il est difficile de se connecter;Es difícil conectarse;Ni ngumu kuunganisha;Biragoye guhuza
Q3_high_end_label;Everyone fits in;Tout le monde s'intègre;Todo el mundo encaja;Kila mtu anafaa;Umuntu wese arahuye
Q4_text;Guidance;Conseils;Orientación;Mwongozo;Ubuyobozi 
Q4_low_end_label;no support;Aucun support;Sin apoyo;Hakuna msaada;Nta bufasha uhabwa
Q4_high_end_label;a lot of support;Beaucoup de soutien;Mucho apoyo;Kuko msaada mwingi`;Inkunga nyinshi
Q5_text;Vision;Vision ;Visión ;Maono;Icyerekezo
Q5_low_end_label;no clear vision;Pas de vision claire;Sin visión clara;Hakuna maono wazi;Nta cyerekezo gisobanutse
Q5_high_end_label;very clear vision;Vision très claire;Visión muy clara;Maono wazi kabisa;Icyerekezo gisobanutse neza
Q6_text;Innovation;Innovation;Innovación;Ubunifu ;Ubuhanzi 
Q6_low_end_label;no innovation;Aucune innovation;Sin innovación;Hakuna uvumbuzi;ntadushya
Q6_high_end_label;very innovative;Très innovant;Muy innovador;Ubunifu sana;haba guhanga udushya twinshi
Q7_text;Flexibility;Flexibilité;Flexibilidad ;Raisi kubadilika ;kworoshya
Q7_low_end_label;very rigid & inflexible;Très rigide et inflexible;Muy rígido e inflexible;ngumu sana na isiyobadilika;Birakomeye kandi ntibyoroshye
Q7_high_end_label;very flexible;Très flexible;Muy flexible;Raisi sana kubadilika;Biroroshye
Q8_text;Control;Contrôle;Control;Udhibiti ;Igenzura 
Q8_low_end_label;Extreme hierarchy;Hiérarchie extrême;Jerarquía extrema;Utawala uliokithiri;Inzego zikabije
Q8_high_end_label;Shared leadership;Leadership partagé;Liderazgo compartido;Uongozi wa Pamoja;Ubuyobozi Bumwe
Q9_text;Conflict;Conflit ;Conflicto ;Mapambano;Amakimbirane
Q9_low_end_label;conflict avoidant;Évitant les conflits;Evita conflictos;Kuzuia migogoro;Kwirinda amakimbirane
Q9_high_end_label;conflict is addressed openly;Le conflit est abordé ouvertement;El conflicto se plática abiertamente;Migogoro hushughulikiwa wazi;Amakimbirane akemurwa kumugaragaro
Q10_text;Structure;Structure;Estructura;Mufumo;Imiterere
Q10_low_end_label;disorganized and chaotic;Désorganisé et chaotique;Desorganizado y caótico;Haina mpangilio na iko na vurugu ;Gahunda idahwitse kandi irimo akajagari
Q10_high_end_label;organized and clear;Organisé et clair;Organizado y claro;Iko na mupangio na iko wazi ;Byateguwe kandi bisobanutse
Q11_text;Transparency;Transparence;Transparencia ;Uwazi;Gukorera mu mucyo 
Q11_low_end_label;not transparent;Pas transparent;No transparente;Sio ya uwazi;Ntabwo bishyirwa ahagaragara
Q11_high_end_label;very transparent;Très transparent;Muy transparente;Uwazi sana;Biragaragara cyane
Q12_text;Does your direct supervisor/manager care about your wellbeing?;Votre superviseur/ manager direct se soucie-t-il de votre bien-être et de votre satisfaction?;¿Su supervisor / gerente directo se preocupa por su bienestar y satisfacción?;Je! Msimamizi wako / Kiongozi  wako wa moja kwa moja anajali ustawi wako na kuridhika kwako?;Ese umuyobozi wawe ubona yita  kumibereho yawe no kunyurwa?
Q12_low_end_label;Not at all;pas du tout;Para nada;Hata kidogo;oya rwose
Q12_high_end_label;A great deal;beaucoup;mucho;Sana;cyane
Q12_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q13_text;"If you had a problem with how someone treated you, would you feel safe to reach out to someone in your organization to ask for help?";"Si vous aviez un problème de la manière  dont quelqu'un vous traitait, vous sentiriez-vous en sécurité pour contacter plus d'une personne de votre équipe pour demander de l'aide?";"Si tuviera un problema con la forma en que alguien lo trató, ¿se sentiría seguro de comunicarse con más de una persona de su equipo para pedir ayuda?";"Ikiwa ungekuwa na shida na jinsi mtu alikutendea, ungejisikia salama kuwasiliana na zaidi ya mtu mmoja kwenye timu yako kuomba msaada?";"Niba ufite ikibazo cyukuntu umuntu yagufashe, wakumva ufite umutekano wo kwegera abantu barenze umwe mw’itsinda  ryawe kugirango baguhe ubufasha?"
Q13_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q13A1_text;There is no one I could ask for help from in my organization.;Il n'y a personne à qui je pourrais demander de l'aide dans mon équipe.;No hay nadie de mi equipo a quien pueda pedirle ayuda.;Hakuna mtu ambaye ningeweza kuomba msaada kutoka kwa timu yangu.;Ntamuntu numwe wasaba ubufasha mu murwi wanjye.
Q13A2_text;"I can think of some peers, but no managers that I would ask for help.";"Je peux penser à certains collègues , mais pas à des gestionnaires.";"Puedo pensar en algunos compañeros, pero no en gerentes.";"Ninaweza kufikiria wenzao, lakini apana viongozi. ";"Ndashobora gutekereza kuri bamwe muba kolege, ariko ntabayobozi."
Q13A3_text;There is at least one manager or supervisor I could ask for help from.;Il y a au moins un gestionnaire ou superviseur auquel je pourrais demander de l'aide.;Hay al menos un gerente o supervisor al que podría pedirle ayuda.;Kuna angalau Kiongozi  au msimamizi mmoja ambaye ningeweza kuomba msaada kutoka kwake.;Hano hari byibuze umuyobozi umwe cyangwa umugenzuzi nshobora gusaba ubufasha.
Q13A4_text;"There are many people, both peers and managers, that I could ask for help from.";Je pourrais demander de l'aide à de nombreuses personnes.;Hay muchas personas a las que podría pedir ayuda.;Kuna watu wengi ambao ningeweza kuomba msaada kutoka kwao.;Hariho abantu benshi nshobora gusaba ubufasha.
Q14_text;"Does your company celebrate and acknowledge employee's cultural differences and needs? Consider religious holidays, dress, food restrictions, customs, or access to services.";"Votre entreprise célèbre-t-elle et reconnaît-elle les différences culturelles des employés? En considération  des  fêtes religieuses, à la tenue vestimentaire, aux restrictions alimentaires, aux coutumes ou à l'accès aux services.";"¿Su empresa celebra y reconoce las diferencias culturales de los empleados? Considera las festividades religiosas, la vestimenta, las restricciones alimentarias, las costumbres o el acceso a servicios.";"Je! Shirika  lako lina adhimisha  na lina kubali  tofauti za kitamaduni za mfanyakazi? Shirika linazingatia  likizo ya kidini, mavazi, vizuizi vya chakula, mila, au ufikiaji wa huduma.";"Isosiyete yawe yishimira kandi ikemera itandukaniro ry’umuco ry’abakozi? Tekereza iminsi mikuru y'idini, imyambarire, kubuza ibiryo, imigenzo, cyangwa kubona serivisi."
Q14_low_end_label;Not at all;Pas du tout;Para nada;Hata kidogo;oya rwose
Q14_high_end_label;All the time;Toujours;todo el tiempo;Daima;Buri gihe
Q14_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q15_text;I feel my whole identity is accepted and valued by the organization.;Je sens que toute mon identité est acceptée et valorisée par l'organisation.;Siento que toda mi identidad es aceptada y valorada por la organización.;Ninahisi utambulisho wangu wote unakubaliwa na kuthaminiwa na shirika.;Ndumva umwirondoro wanjye wose wemewe kandi uhabwa agaciro numuryango.
Q15_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q15A1_text;Not at all. I have to hide many parts of who I am to be accepted.;Pas du tout. Je dois cacher beaucoup de ma personnalité  pour être accepté.;Para nada. Tengo que ocultar muchas partes de quien soy para ser aceptada/o;Hata kidogo. Lazima nifiche sehemu nyingi za mimi ni nani kukubalika.;oya rwose. Ngomba guhisha ibice byinshi byuwo ngomba kwemerwa.
Q15A2_text;"There are parts of my identity that are ok, but other parts that I feel like I can't reveal.";"Il y a des parties de mon identité qui sont correctes, mais d'autres parties que j'ai l'impression de ne pas pouvoir révéler.";"Hay partes de mi identidad que están bien revelar, pero otras partes que siento que no puedo.";"Kuna sehemu za kitambulisho changu ambazo ni sawa, lakini sehemu zingine ambazo ninahisi kama siwezi kufunua.";"Bicye mubindanga nshobora kubihishura, ariko ibindi bice numva ntashobora guhishura."
Q15A3_text;"I can be myself with my direct supervisor and team, but not in the company as a whole.";"Je peux être moi-même avec mon superviseur direct et mon équipe, mais pas dans l'entreprise dans son ensemble.";"Puedo ser yo mismo con mi supervisor directo y mi equipo, pero no en la empresa en su totalidad.";"Ninaweza kuwa mwenyewe na kiongozi  wangu wa moja kwa moja na timu yangu, lakini sio katika kampuni kwa ujumla.";"Nshobora kuba uwo ndiwe hamwe nunyobora hamwe nitsinda ryanjye, ariko atari muri sosiyete muri rusange."
Q15A4_text;I can be myself at all times in the workplace.;Je peux être moi-même à tout moment sur le lieu de travail.;Puedo ser yo mismo en todo momento en el lugar de trabajo.;Ninaweza kuwa mwenyewe wakati wote mahali pa kazi.;Nshobora kuba uwo ndiwe igihe cyose mukazi.
Q15A5_text;none of the above.;Aucune de ces réponses.;Ninguna de las anteriores;Hakuna jibu hata moja hapo juu.;Nta na kimwe muri ibyo byose.
Q16_text;"In this company, how often are peoplerejected or ostracized for being different?";"Dans cette entreprise, à quelle fréquence les gens sont-ils rejetés ou mis en retrait  parce qu'ils sont différents?";"En esta empresa, ¿con qué frecuencia las personas son rechazadas o condenadas al ostracismo por ser diferentes?";"Katika shirika  hii, ni mara ngapi watu hukataliwa au  hutengwa kwa kuwa tofauti?";"Muri iyi sosiyete, ni kangahe abantu bangwa cyangwa bagahabwa akato kubera gutandukana n’abandi?"
Q16_low_end_label;very often;Très souvent;Muy a menudo;Mara nyingi sana;Kenshi cyane
Q16_high_end_label;never;Jamais;Nunca;Kamwe;Nta na rimwe
Q16_free_text_label;(OPTIONAL) Give examples...;;(OPCIONAL) Dar ejemplos;(SI hiari) Toa mifano ...;(BIKURIKIRA) Tanga ingero …
Q17_text;"How would you describe employees' awareness of the company's mission, values, and vision?";"Comment décririez-vous la conscience que les employés ont de la mission, des valeurs et de la vision de l'entreprise?";"¿Cómo describiría la conciencia de los empleados sobre la misión, los valores y la visión de la empresa?";"Je! Unaweza kuelezeaje ufahamu wa wafanyakazi juu ya dhamira ya kampuni, maadili, na maono?";"Nigute wasobanura uburyo abakozi bamenya umugambi bwikigo, indangagaciro, n’icyerekezo?"
Q17_free_text_label;(OPTIONAL) Say More...;(FACULTATIF) En dire plus...;(OPCIONAL) Diga más ...;(SI hiari) Sema Zaidi;(BIKURIKIRA) Vuga byinshi
Q17A1_text;We don't have clear organizational mission and values.;Nous n'avons pas de mission et de valeurs organisationnelles claires.;No tenemos una misión y valores organizacionales claros.;Hatuna dhamira na maadili wazi ya shirika.;Ntabwo dufite inshingano zisobanutse zindangagaciro.
Q17A2_text;"They exist, but the average employee probably couldn't define them.";"Ils existent, mais le simple employé  ne pourrait probablement pas les définir.";"Existen, pero el empleado promedio probablemente no podría definirlos.";"Zipo, lakini mfanyakazi wa kawaida labda hangeweza kuzifafanua.";"Barahari, ariko abakozi basanzwe birashoboka ko badashobora kubisobanura."
Q17A3_text;"Our managers are aware of the mission and values, but most employees aren't.";"Nos managers sont conscients de la mission et des valeurs, mais la plupart des employés ne le sont pas.";"Nuestros gerentes conocen la misión y los valores, pero la mayoría de los empleados no.";"Viongozi wetu wanajua dhamira na maadili, lakini wafanyikazi wengi hawazijui.";"Abayobozi bacu bazi ubutumwa n'indangagaciro, ariko abakozi benshi ntabwo babizi."
Q17A4_text;"Our entire staff could tell you what they are, but we don't always practice them.";"Tout notre personnel pourrait vous dire ce qu'ils sont, mais nous ne les pratiquons pas toujours.";"Todo nuestro personal podría decirte cuáles son, pero no siempre los practicamos.";"Wafanyikazi wetu wote wangeweza kukuambia ayo, lakini huwa hatuwayafuatishe kila wakati.";"Abakozi bacu bose barashobora kukubwira icyo aricyo, ariko ntabwo buri gihe tubitoza."
